max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.7,0.7,5,0.0,10,0.42423,0.68621,0.34835
2,300,0.05,0.7,0.7,10,0.0,5,0.41549,0.68623,0.36435
3,300,0.05,0.6,0.8,10,1.0,5,0.3355,0.68626,0.4105
2,300,0.1,0.8,0.7,10,0.5,5,0.33778,0.68632,0.39028
2,200,0.1,0.8,0.6,20,1.0,5,0.41062,0.68634,0.32208
2,200,0.05,0.8,0.7,10,0.0,5,0.45143,0.68636,0.37516
2,300,0.05,0.6,0.6,5,1.0,5,0.42766,0.68639,0.35174
3,300,0.05,0.7,0.7,20,0.0,5,0.34954,0.68639,0.42362
3,300,0.05,0.7,0.7,10,1.0,10,0.35042,0.68642,0.41242
2,200,0.1,0.8,0.7,10,0.5,5,0.38542,0.68647,0.39536
2,300,0.05,0.7,0.7,20,1.0,5,0.44269,0.6865,0.36724
2,300,0.1,0.8,0.6,5,0.0,5,0.32691,0.68651,0.32006
2,300,0.1,0.8,0.6,5,0.0,1,0.30106,0.68652,0.38027
2,200,0.05,0.6,0.8,10,1.0,10,0.47746,0.6866,0.34831
2,200,0.05,0.7,0.6,10,0.5,10,0.47498,0.68667,0.3785
3,200,0.05,0.7,0.7,20,0.0,10,0.41247,0.68671,0.39754
2,200,0.05,0.6,0.8,5,0.0,5,0.45229,0.68683,0.35312
2,200,0.1,0.8,0.8,5,1.0,5,0.39113,0.68685,0.37378
2,300,0.1,0.6,0.6,10,1.0,5,0.36527,0.68688,0.36708
2,300,0.1,0.8,0.6,20,0.5,5,0.35678,0.68695,0.36998
2,200,0.05,0.6,0.8,5,0.0,10,0.46283,0.687,0.35424
2,200,0.05,0.8,0.6,20,0.5,10,0.47989,0.68704,0.37633
2,300,0.1,0.6,0.7,10,0.0,10,0.35325,0.68707,0.31881
2,200,0.1,0.6,0.8,10,0.5,10,0.40516,0.68711,0.29421
2,300,0.05,0.6,0.7,10,0.5,1,0.41443,0.68712,0.3221
3,300,0.05,0.6,0.8,5,0.0,10,0.31366,0.68712,0.38892
2,300,0.05,0.8,0.6,5,0.5,1,0.40194,0.68718,0.38314
3,200,0.1,0.7,0.8,20,1.0,10,0.33271,0.68718,0.39876
3,200,0.1,0.7,0.8,20,0.5,10,0.32641,0.68722,0.43641
2,300,0.05,0.6,0.6,5,0.0,5,0.41512,0.68725,0.33145
2,300,0.1,0.7,0.8,5,0.0,10,0.33914,0.68727,0.33614
