n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,5,0.05,0.7,0.85,3,1.0,0.6506198211316947,0.5852447406176662
500,5,0.05,0.7,0.85,3,1.0,0.6507597954061256,0.5869530078140823
300,5,0.05,0.7,1.0,5,0.1,0.650856328916836,0.5605812200941143
300,5,0.05,0.85,1.0,1,0.0,0.650919805292354,0.5710552484517138
500,5,0.05,0.85,1.0,5,0.1,0.6509472114786529,0.5490546593462076
500,5,0.05,0.85,1.0,1,0.1,0.6510086012090621,0.5270369267368678
500,5,0.05,0.85,1.0,1,0.0,0.6510157555202778,0.5736885929606736
500,4,0.1,1.0,0.85,1,0.1,0.6510726072678318,0.5466320995041702
300,5,0.1,1.0,0.7,5,1.0,0.6510735748099618,0.6006584697201166
500,5,0.1,1.0,0.7,5,1.0,0.6510735748099618,0.6006584697201166
300,5,0.05,0.85,1.0,1,0.1,0.6511158066132333,0.5252163475748576
500,5,0.05,0.7,1.0,5,0.1,0.6512039757046597,0.563932443432681
300,5,0.05,0.7,0.7,1,0.0,0.6512296619838304,0.5111182178213722
500,6,0.1,0.7,0.7,3,0.0,0.651358906536285,0.5264273541250063
300,6,0.1,0.7,0.7,3,0.0,0.651434969187256,0.5261983124571623
300,5,0.1,0.7,1.0,3,1.0,0.6514548847136066,0.5622580761697933
500,4,0.05,0.85,1.0,1,0.0,0.651466961994307,0.5551458967642297
300,6,0.1,0.7,1.0,3,1.0,0.6515586723602005,0.5363180548324127
300,5,0.05,0.7,0.85,5,0.0,0.6517288543077516,0.5535979223441271
500,4,0.05,1.0,0.85,3,1.0,0.6517437602482533,0.6003887106810072
300,5,0.05,0.7,1.0,3,0.0,0.6517606431633042,0.5405757131573632
500,6,0.05,0.7,0.7,1,1.0,0.6519116501366983,0.5248722927124573
300,4,0.05,1.0,0.85,3,1.0,0.652054636675263,0.59755713782253
300,4,0.1,0.85,0.7,3,1.0,0.6521334222983787,0.5761864762786417
