n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
500,6,0.05,0.85,0.7,5,0.1,0.6205583778662932,0.5244439339749937
300,4,0.05,0.7,0.7,1,0.1,0.62061610870307,0.5927148553546114
500,5,0.05,0.7,0.85,1,0.0,0.6206390315416279,0.5417213104136456
300,5,0.1,1.0,0.85,5,0.0,0.6208621165609997,0.5448975245702726
500,5,0.1,1.0,0.85,5,0.0,0.6209759319240364,0.5446730771650796
500,6,0.05,0.85,1.0,3,0.1,0.6210111123126911,0.5747833326044006
500,4,0.05,0.85,0.85,5,0.0,0.6211125867106116,0.5642475281750323
500,6,0.05,0.7,0.85,1,0.0,0.6211255479429557,0.5372821235576783
300,5,0.1,0.85,0.85,3,0.0,0.6212050213016338,0.5401878135787398
500,5,0.1,0.85,0.85,3,0.0,0.6212724160065418,0.5403328391604656
300,4,0.05,0.85,0.7,3,0.1,0.6213143094089917,0.5748693876710492
500,5,0.05,1.0,0.7,3,0.1,0.6214148624517465,0.5313333512841827
500,5,0.05,0.85,0.85,1,0.1,0.621420294743491,0.528634552000194
300,4,0.05,1.0,0.85,1,0.1,0.6214398948077317,0.5370813614025323
300,4,0.05,0.85,0.7,1,0.0,0.6214505500932924,0.5524022248006931
500,6,0.1,0.7,0.7,1,1.0,0.6214582913318522,0.563428149871337
500,5,0.05,0.85,1.0,3,1.0,0.6214652626469763,0.5564570106655261
500,6,0.05,1.0,0.7,5,0.0,0.6214759737063676,0.576814128999806
300,4,0.1,0.7,0.7,5,1.0,0.6215600412812329,0.627001326958549
300,5,0.05,1.0,1.0,1,0.1,0.6216404069524784,0.5380899838827331
500,4,0.05,0.7,1.0,5,0.1,0.6216580906463776,0.5420044659401924
300,4,0.05,1.0,0.7,3,0.0,0.6217158983592177,0.5729588416703474
300,5,0.05,0.85,0.7,5,0.0,0.6217216153212974,0.5191777017975518
300,4,0.1,0.85,0.7,5,0.1,0.6217296991296108,0.5220774294278726
300,4,0.05,0.85,0.7,5,0.1,0.6217783849711593,0.5668903103998093
300,5,0.05,0.7,0.7,1,1.0,0.6218217077039909,0.5477460182504157
300,5,0.05,0.85,0.7,3,1.0,0.6219090688003134,0.5333902820066018
300,6,0.05,0.85,1.0,3,0.0,0.6221551103026145,0.5694394055203853
500,4,0.05,1.0,0.85,1,0.1,0.6221838777211329,0.5430645223942369
300,5,0.1,0.85,0.85,1,0.1,0.6222458312948362,0.5168520453600219
300,5,0.05,0.85,1.0,3,0.1,0.6223851759433816,0.5485241849230148
300,6,0.05,1.0,0.85,5,0.0,0.6224472936399686,0.5546972414086689
300,6,0.05,0.7,0.7,1,0.1,0.6224852545074577,0.5183428124241233
300,4,0.05,0.85,0.7,3,0.0,0.6225574586978312,0.5414581725831087
500,4,0.1,1.0,1.0,5,0.0,0.6225899155729973,0.5581530728122068
300,6,0.1,0.85,0.7,3,0.1,0.6226057721499668,0.487702024283515
500,4,0.1,1.0,0.85,1,0.0,0.6227457407642066,0.5340382003061421
300,6,0.05,0.7,0.7,5,0.1,0.6227818056354542,0.5337630930866173
500,5,0.05,0.7,0.85,1,1.0,0.622802547539649,0.5747968440848317
300,4,0.05,1.0,0.7,1,1.0,0.6228146718374372,0.5451842993029702
500,5,0.1,0.85,0.85,1,0.1,0.6228231627580703,0.5161957537318889
500,6,0.05,0.85,1.0,3,0.0,0.622830052868872,0.570005952868635
300,5,0.05,0.7,1.0,1,0.1,0.6228604103071519,0.5319297887990406
300,4,0.1,1.0,1.0,5,0.1,0.6229712932291133,0.548040281276326
500,6,0.1,0.85,0.7,3,0.1,0.6230209979973919,0.4870814828040269
300,5,0.05,0.7,0.85,5,1.0,0.623035535098557,0.6149909203709177
300,6,0.05,0.7,0.7,5,0.0,0.6231220850268786,0.5631167382787757
500,4,0.05,0.85,0.7,3,0.1,0.6232523367761172,0.5747027779154088
500,4,0.05,0.85,0.7,3,0.0,0.6233478761721228,0.5382222589311351
300,6,0.05,0.7,0.7,3,0.0,0.6234107318695842,0.5351427966735397
300,6,0.05,0.85,1.0,1,0.0,0.6234990635271427,0.5699472217545254
500,4,0.05,1.0,0.85,1,1.0,0.6235118151042796,0.561883869564926
300,6,0.1,0.85,0.7,1,1.0,0.6235331165810268,0.5237558911204664
300,6,0.05,1.0,1.0,5,1.0,0.6235622903544626,0.5429991792217685
500,6,0.05,1.0,1.0,5,1.0,0.6235622903544626,0.5429991792217685
300,6,0.1,0.85,0.7,3,0.0,0.6235726007113083,0.5583762930912711
300,5,0.1,1.0,1.0,1,1.0,0.6235734898942432,0.5158580146019627
500,5,0.1,1.0,1.0,1,1.0,0.6235734898942432,0.5158580146019627
500,6,0.05,0.7,1.0,5,1.0,0.623577624319928,0.5985430355068873
500,6,0.1,0.85,0.7,3,0.0,0.6236078689841824,0.5582430613881928
500,6,0.05,0.7,0.7,1,0.1,0.6236108570933327,0.5177593245524977
500,5,0.05,0.7,1.0,1,0.1,0.6236155379413987,0.5306184448511295
300,5,0.05,0.7,0.85,3,0.0,0.6236393465874723,0.5825652492153577
300,5,0.1,0.85,0.85,5,0.1,0.6237009560824313,0.5263694025843312
500,6,0.05,1.0,0.85,5,0.0,0.6237164480438456,0.554060713217515
500,6,0.1,0.7,0.7,3,0.1,0.6237763972462257,0.5282451368603986
500,4,0.05,0.7,1.0,1,0.1,0.6237771522309136,0.5659909679988281
300,6,0.05,1.0,0.7,5,0.1,0.6237926992450932,0.5551956849097723
300,6,0.05,0.85,0.85,3,1.0,0.6238894148396593,0.553008745604153
300,4,0.1,1.0,0.85,1,0.0,0.6238904473860505,0.5318448259983475
500,4,0.1,0.7,0.7,3,1.0,0.6239376135507719,0.5785499007670801
500,6,0.05,0.7,0.7,3,0.0,0.6239427630957783,0.5341603342590422
500,6,0.1,0.85,0.7,1,1.0,0.6239518909309989,0.5225494438792485
500,4,0.05,0.85,0.7,5,0.0,0.6239534820981141,0.5778176989213567
300,4,0.1,1.0,0.7,5,1.0,0.6240669886214708,0.5470223667489931
500,4,0.1,1.0,0.7,5,1.0,0.6240669886214708,0.5470223667489931
300,4,0.1,1.0,0.7,1,1.0,0.6242203595355074,0.5549380111154781
500,4,0.1,1.0,0.7,1,1.0,0.6242203595355074,0.5549380111154781
300,4,0.05,0.85,1.0,5,1.0,0.6243747919783437,0.5560097759132362
300,6,0.1,0.7,0.7,3,0.1,0.6244135469007989,0.5270491005139485
300,4,0.1,0.7,0.7,5,0.0,0.6244303322107723,0.5693184821274596
300,4,0.1,1.0,0.7,3,0.1,0.6244381571962553,0.5850634152999403
500,5,0.1,0.85,0.85,5,0.1,0.6244831353036718,0.5251553530818145
500,6,0.05,0.85,1.0,1,0.0,0.6244835779750756,0.5679954292323734
500,6,0.05,0.7,0.7,5,0.1,0.6244930522676508,0.5337915102308287
500,5,0.05,1.0,1.0,1,0.1,0.6245094456220679,0.5358171979174056
300,4,0.05,0.7,1.0,3,1.0,0.6246476555784608,0.5400004059523427
500,5,0.05,0.85,0.7,5,0.0,0.6247423856884523,0.513147928809862
300,4,0.05,0.85,0.85,1,0.0,0.6248445449003612,0.5506824266972963
300,4,0.1,0.85,0.85,1,1.0,0.6248616128811137,0.575528751968781
300,5,0.05,0.85,1.0,1,0.1,0.6248679903171974,0.5591414137782277
300,4,0.05,0.85,1.0,5,0.0,0.6249581425329074,0.5430067403347563
500,5,0.05,0.7,0.85,5,1.0,0.6249660913009369,0.6156926816613275
300,5,0.05,0.85,0.7,1,0.0,0.6249811008533487,0.4918222454106283
500,4,0.05,0.7,1.0,1,1.0,0.6249970548470217,0.5941498716372399
500,4,0.05,0.7,1.0,5,1.0,0.6250939722095161,0.5697339723512584
300,5,0.05,0.7,0.7,3,0.0,0.6251961238503717,0.5499989112513424
500,6,0.05,1.0,0.7,5,0.1,0.6252216317264142,0.554174951800476
500,4,0.1,1.0,1.0,5,0.1,0.6252394365479954,0.5431165972706085
500,6,0.05,0.85,0.85,3,1.0,0.62525183424915,0.553084925817196
500,4,0.05,1.0,0.7,1,1.0,0.6252705339133234,0.5378021745305376
500,4,0.05,0.7,1.0,3,0.1,0.625554325232459,0.5347586274937532
300,4,0.05,0.7,1.0,3,0.1,0.6256136557465876,0.5293941587733472
