max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.8,0.6,5,1.0,1,0.36673957898393833,0.6326763030551417,0.5878231957060661
2,300,0.05,0.6,0.6,10,1.0,10,0.4046619116414025,0.6326923403302249,0.5607410211094516
2,300,0.05,0.8,0.6,10,0.5,1,0.3642845290696681,0.6326993081416843,0.5896710160675043
2,300,0.05,0.6,0.7,10,0.5,1,0.3624921209245243,0.6327818219297271,0.5727944942227948
2,200,0.1,0.8,0.7,10,0.0,5,0.3288932157587969,0.6328629426630199,0.5965557478489202
2,300,0.05,0.7,0.6,20,0.0,5,0.38925912912955357,0.6329123044594953,0.5503509969301414
2,300,0.1,0.6,0.6,20,1.0,10,0.3455291021635676,0.632983458346761,0.5597391167880175
3,100,0.05,0.7,0.7,10,0.5,1,0.3922665990658143,0.6330217759607134,0.5860976203929311
2,300,0.1,0.7,0.6,20,0.5,10,0.32385351040163046,0.6331282621455254,0.5466084464920008
2,200,0.1,0.8,0.6,10,0.5,5,0.34369224411990884,0.633137524410563,0.5612353175602728
2,200,0.05,0.8,0.7,20,1.0,5,0.43750998591192425,0.633181264926859,0.5708378082057648
2,200,0.1,0.8,0.7,5,0.0,1,0.3096731792739073,0.6332197637298073,0.6105024846427276
2,300,0.1,0.8,0.8,5,1.0,5,0.28956354985505534,0.6333395379724573,0.5539812317370132
3,200,0.05,0.8,0.6,20,0.0,1,0.3312564275673706,0.6333745948493653,0.5654422511551076
3,200,0.05,0.6,0.6,10,0.5,5,0.3312601947629449,0.6333856104967363,0.57912930276062
3,300,0.05,0.6,0.7,20,0.0,1,0.2881441441493285,0.6334080061176016,0.5836140075015104
2,300,0.05,0.6,0.6,5,0.0,5,0.3696627560025423,0.6334990989389684,0.5710289297755388
3,300,0.05,0.6,0.6,20,0.0,10,0.32176103692392993,0.6335495607366007,0.5976871132962005
3,200,0.05,0.6,0.6,20,1.0,10,0.3929986105441462,0.633600156711054,0.5754443358705208
2,300,0.1,0.6,0.6,5,1.0,10,0.32447398766897223,0.6336263601445544,0.5517395604585902
2,200,0.1,0.6,0.6,5,0.5,1,0.3337906570485044,0.6336386951016194,0.5371446088404026
3,200,0.05,0.6,0.6,10,1.0,1,0.3187163603379951,0.6336611340721963,0.5955364186420057
