max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.1,0.8,0.8,20,0.5,10,0.31672809636513444,0.627457338534841,0.5766125630379458
2,300,0.05,0.6,0.7,10,0.0,1,0.35636582107458725,0.6275220181879251,0.5818465863355402
2,300,0.05,0.6,0.7,20,0.5,10,0.41166363912081994,0.6275239638264875,0.5583304523103054
2,200,0.1,0.8,0.6,10,1.0,1,0.3371737181050316,0.6276513795604035,0.5776852289792472
2,300,0.1,0.8,0.8,20,1.0,1,0.3047936322134673,0.6276523900316546,0.5685931739028361
3,200,0.05,0.6,0.6,20,0.5,5,0.3656593623630851,0.6277840337653208,0.5740339298427929
2,300,0.05,0.6,0.6,10,0.0,5,0.37664268747864665,0.627798405643526,0.5547542379560053
2,300,0.05,0.6,0.8,10,0.0,1,0.35132724614495225,0.6279202327864936,0.5619967420462719
2,300,0.1,0.8,0.6,10,0.0,5,0.28182955460457143,0.6280519255508024,0.5801398000691967
3,200,0.1,0.8,0.8,10,0.5,5,0.20759056922267685,0.6281147194732267,0.5934177797637099
2,300,0.05,0.7,0.8,20,0.5,10,0.4002536053125781,0.6281994405218915,0.5530562218417285
2,200,0.05,0.6,0.6,5,0.5,10,0.4381130056526603,0.6282339658397437,0.5697499174447231
2,200,0.05,0.8,0.7,5,1.0,10,0.435859917915659,0.6282737686841473,0.5753999832486383
2,300,0.1,0.7,0.7,10,1.0,10,0.3167263603397224,0.6283443869003956,0.5458781477413662
2,300,0.05,0.8,0.7,20,0.0,5,0.3870225343890251,0.6283636610225549,0.5720865162138065
2,200,0.05,0.6,0.6,10,0.5,10,0.440008439514149,0.6283679978469884,0.5642422057693693
2,200,0.1,0.7,0.8,10,0.5,5,0.3421948344685303,0.6283995777858852,0.5316694721708823
2,200,0.05,0.6,0.6,10,1.0,5,0.4342050440201925,0.6284345120552352,0.5589994805961701
2,100,0.05,0.6,0.6,10,1.0,5,0.4984879197214449,0.6284359244030563,0.5553128591703579
2,200,0.05,0.8,0.7,20,0.0,10,0.43589929965072394,0.6287422840919823,0.5678747373287082
3,300,0.05,0.6,0.6,10,1.0,10,0.3032187748823112,0.6288165051632986,0.58842855012505
2,300,0.05,0.8,0.6,20,0.0,10,0.40005227627395795,0.6288766990861503,0.5624463203468819
3,300,0.05,0.8,0.8,5,0.0,1,0.2023463235391315,0.6289116257507206,0.5855441776980425
2,300,0.05,0.8,0.6,20,0.0,1,0.37717065862289495,0.6289896297309706,0.5771884977779637
2,300,0.1,0.8,0.8,10,0.5,5,0.2824420589137143,0.6290435926021116,0.5489301550638301
2,300,0.05,0.8,0.7,20,0.0,10,0.3954949041415823,0.6290924899176467,0.5637097500631281
2,300,0.1,0.6,0.6,20,0.5,10,0.33738277599881134,0.6291123461611795,0.5405970533520988
2,300,0.05,0.6,0.7,10,1.0,1,0.3689159943742074,0.6291880339017719,0.5572983031217799
3,300,0.05,0.8,0.6,5,0.0,1,0.20914652709097997,0.6292786741943277,0.5942034538993853
3,300,0.05,0.6,0.6,5,0.0,5,0.24026703991745496,0.6293167280595131,0.5945623571940982
2,200,0.1,0.8,0.6,10,0.0,5,0.33711462894845157,0.6293266476645826,0.5718028933601
2,200,0.05,0.8,0.7,20,1.0,10,0.4455304430715361,0.6293344525124812,0.57152336051238
2,300,0.05,0.6,0.7,10,1.0,5,0.3884845728914032,0.6293482072265281,0.5537102252627966
2,300,0.05,0.6,0.6,10,0.5,5,0.3823520956679961,0.6293661090958735,0.5564952295077091
2,300,0.05,0.6,0.6,10,0.5,10,0.3959908249039346,0.6294106508248665,0.5544923263484819
2,100,0.05,0.6,0.6,20,0.0,5,0.49941640903139456,0.6294656414457055,0.5567171274090357
2,300,0.1,0.8,0.7,20,0.0,1,0.2861378506046649,0.6294788777129516,0.5736300514866881
3,300,0.05,0.7,0.7,10,0.5,1,0.23873143746702738,0.6295036872360051,0.6021787954352629
3,300,0.1,0.8,0.8,10,0.5,5,0.1510907760108157,0.6296528208792859,0.5943544972311706
3,200,0.05,0.6,0.6,20,0.0,1,0.3482420298859509,0.6297412940914207,0.551033496481777
2,300,0.05,0.8,0.6,5,0.5,5,0.37404445667521,0.6298688766645905,0.5815464932332441
3,300,0.05,0.8,0.7,5,0.0,10,0.2526166725761033,0.6298840790984527,0.5807129478968946
2,200,0.05,0.6,0.6,10,0.0,5,0.42562852032830006,0.6299226898166104,0.5452583262990434
2,200,0.05,0.8,0.6,10,1.0,1,0.41881625037203263,0.6299421502214464,0.5921683014013337
3,200,0.05,0.6,0.6,5,0.0,5,0.3072322745014868,0.6299609001114658,0.590281505887547
3,200,0.1,0.8,0.7,10,0.5,5,0.20824442344489355,0.6300450183161337,0.5873340430806349
3,200,0.05,0.8,0.8,10,1.0,1,0.2988661201055514,0.6301419567031952,0.5951106654780806
2,300,0.05,0.6,0.7,20,1.0,5,0.40336393369558826,0.6302514930331831,0.550784063149719
2,200,0.05,0.8,0.7,10,1.0,10,0.4363602559479815,0.6302781736983913,0.5671795687212157
2,200,0.1,0.7,0.6,20,0.0,10,0.3697486369172122,0.63034204894563,0.5464089026173099
2,300,0.05,0.8,0.7,20,1.0,5,0.3987574397818773,0.6303581741551251,0.5742796716967092
3,200,0.05,0.6,0.6,10,1.0,5,0.34313173501444955,0.6304500685495502,0.5894667768339479
2,300,0.1,0.6,0.8,10,0.5,5,0.29311797393191164,0.6304624043056327,0.5424100829398983
2,100,0.1,0.6,0.6,20,0.0,5,0.43854013013724424,0.6304872691891952,0.581613748801161
2,300,0.1,0.6,0.6,5,1.0,1,0.2847480349267531,0.6305636656365362,0.5577106681165014
